"email","firstname","fullname","lastname","mode","password","registered","objectId","ownerId","created","updated"
"JolieCrane101@snailmail.com","Jolie","Jolie Crane","Crane",null,"P@ssw0rd1",true,"014BB0E3-FAE0-4665-8EB6-880A92F2A4AB",null,"Thu Jun 09 14:16:03 UTC 2022","Wed Jul 06 08:46:16 UTC 2022"
"AyaanLindsey101@snailmail.com","Ayaan","Ayaan Lindsey","Lindsey",null,"P@ssw0rd1",true,"026196F9-E282-41D6-9AAD-EE96A5C69611",null,"Thu Jun 09 14:15:32 UTC 2022","Wed Jul 06 18:58:42 UTC 2022"
"BradenAllen101@snailmail.com","Braden","Braden Allen","Allen",null,"P@ssw0rd1",true,"02E0DEB8-A868-4EBC-9C11-B397928C31FA",null,"Thu Jun 09 14:15:32 UTC 2022","Wed Jul 06 19:00:03 UTC 2022"
"CarlaCarlson101@snailmail.com","Carla","Carla Carlson","Carlson",null,"P@ssw0rd1",true,"039141A8-395B-404F-82DB-92A6F5F93226",null,"Thu Jun 09 14:16:03 UTC 2022","Fri Oct 21 15:13:39 UTC 2022"
"CheyanneCarpenter101@snailmail.com","Cheyanne","Cheyanne Carpenter","Carpenter",null,"P@ssw0rd1",true,"047F47BD-7F90-4D26-840F-76695CA05E51",null,"Thu Jun 09 14:16:03 UTC 2022","Fri Oct 21 15:14:13 UTC 2022"
"AyaanLindsey101@snailmail.com","Ayaan","Ayaan Lindsey","Lindsey",null,"P@ssw0rd1",true,"05B2DFDD-551D-43BE-A0AC-A0BE28D20EB8",null,"Thu Jun 09 14:16:03 UTC 2022","Fri Oct 21 15:14:47 UTC 2022"
"BrendenWeeks101@snailmail.com","Brenden","Brenden Weeks","Weeks",null,"P@ssw0rd1",true,"06513C5E-0CE5-422C-857D-64F2EB0047C7",null,"Thu Jun 09 14:15:32 UTC 2022","Fri Oct 21 15:15:21 UTC 2022"
"BradenAllen101@snailmail.com","Braden","Braden Allen","Allen",null,"P@ssw0rd1",true,"06B67604-33E5-44F5-9677-3CDB3ECD71CC",null,"Thu Jun 09 14:16:03 UTC 2022","Fri Oct 21 15:15:54 UTC 2022"
"SherlynGarrison101@snailmail.com","Sherlyn","Sherlyn Garrison","Garrison",null,"P@ssw0rd1",true,"0868E13F-443F-40FD-922D-66FBAC4F912A",null,"Thu Jun 09 14:15:32 UTC 2022","Fri Oct 21 15:16:29 UTC 2022"
"AbramRowland101@snailmail.com","Abram","Abram Rowland","Rowland",null,"P@ssw0rd1",true,"08D03E2D-FDFA-4E3F-A65B-6E6751B90CB3",null,"Thu Jun 09 14:15:32 UTC 2022","Fri Oct 21 15:17:02 UTC 2022"
